gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragnoType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragnoType,redDragon,redRiftHeralds
4247263043,0,14870,2889,32,6.4,199,53,0,3,9,7,19,2,0,0,[],0,0,0,0,0,0,[],0,0,1,18397,3297,36,7.2,229,32,0,9,3,22,17,8,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0
4247155821,1,14497,2617,33,6.6,229,44,0,2,3,2,17,1,0,0,[],0,0,0,0,0,0,[],0,1,0,15893,4778,36,7.2,234,57,0,3,2,2,15,5,0,0,[],0,0,0,0,0,0,[],0,0
4243963257,0,15617,1757,34,6.8,223,39,0,3,11,4,15,6,0,0,[],0,0,0,0,0,0,[],0,0,1,20409,4324,37,7.4,236,45,0,11,3,11,21,4,1,0,['BOT_LANE'],1,0,0,1,0,1,['FIRE_DRAGON'],1,1
4241678498,0,15684,1439,35,7.0,251,64,0,3,4,2,62,4,0,0,[],0,0,0,0,0,0,[],0,0,1,16150,3633,35,7.0,256,48,0,4,3,5,12,7,0,0,[],0,0,0,0,0,0,[],0,0
4241538868,1,17472,3512,35,7.0,257,46,0,7,5,6,17,6,0,0,[],0,0,0,0,0,0,[],0,1,0,15588,3323,34,6.8,194,56,0,5,7,7,20,3,0,0,[],0,0,0,0,0,0,[],0,0
4241394461,1,18931,1506,34,6.8,205,48,0,12,11,15,91,4,0,0,[],0,0,0,0,0,0,[],0,0,0,18472,4092,34,6.8,204,35,0,11,12,21,19,2,0,0,[],0,0,0,0,0,0,[],0,0
4233222221,0,15178,2753,34,6.8,225,51,0,3,7,3,18,4,0,0,[],0,0,0,0,0,0,[],0,0,1,17334,5204,36,7.2,226,58,0,7,3,9,16,3,0,0,[],0,0,0,0,0,1,['EARTH_DRAGON'],1,0
4233113995,1,17766,3381,35,7.0,241,36,0,7,7,12,25,9,0,0,[],0,0,0,0,0,0,[],0,0,0,16922,4547,34,6.8,216,66,0,7,7,9,73,7,0,0,[],0,0,0,0,0,1,['AIR_DRAGON'],1,0
4231100932,1,18255,2020,36,7.2,266,56,0,7,9,9,27,11,0,0,[],0,0,0,0,0,0,[],0,1,0,16882,3312,36,7.2,240,44,0,9,7,8,24,8,0,0,[],0,0,0,0,0,1,['EARTH_DRAGON'],1,0
4229230455,1,15792,4332,35,7.0,257,61,0,2,1,4,18,8,0,0,[],0,0,0,0,0,0,[],0,1,0,14980,4160,34,6.8,247,60,0,1,2,1,19,4,0,0,[],0,0,0,0,0,0,[],0,0
